User INV Type,Project Name,Supplier Number,Supplier Name,Cost Center,Invoice No,Voucher No ,Category,Invoice Type,Currency,Invoice Date,PO,Department,,Functional Net ,Due Dates,Terms,Due Amount,< 30 Days,30 : 60,60 :90,90:120,120:180,180:270,270:360,>360,Cutoff Date
2,Kattameya Creeks,10023,عبد العاطى سيد عبد الحميد سيد,138.0,3 Kattameya Creeks 82765/3,23404840,Subcontractors Civil,STANDARD,EGP,  20-JUN-23,82765,Operation M,,8706.67,2023-07-13,100% 30 Days,0,8706.67,0,0,0,0,0,,0,2023-07-12
2,Kattameya Creeks,10023,عبد العاطى سيد عبد الحميد سيد,138.0,17 Kattameya Creeks 72578/17,23405353,Subcontractors Civil,STANDARD,EGP,  27-JUN-23,72578,Operation M,,7447.44,2023-07-04,100% 21 Days,0,7447.44,0,0,0,0,0,,0,2023-07-12
2,Kattameya Creeks,10023,عبد العاطى سيد عبد الحميد سيد,138.0,18 Kattameya Creeks 72578/18,23405629,Subcontractors Civil,STANDARD,EGP,  11-JUL-23,72578,Operation M,,7708.82,2023-07-15,100% 21 Days,0,7708.82,0,0,0,0,0,,0,2023-07-12
2,Kattameya Creeks,10023,عبد العاطى سيد عبد الحميد سيد,138.0,4 Kattameya Creeks 82765/4,23405627,Subcontractors Civil,STANDARD,EGP,  11-JUL-23,82765,Operation M,,6447.85,2023-07-24,100% 30 Days,0,6447.85,0,0,0,0,0,,0,2023-07-12
2,Faculty of Medicine,10024,ابو رمزى للمقاولات العامة و الاستثمار العقارى,139.0,10 final Faculty of Medicine.62695/10,23402249,Subcontractors Civil,STANDARD,EGP,  26-MAR-23,62695,Operation O,,93276.88,2023-04-06,100% 15 Day,0,93276.88,0,0,0,0,0,,0,2023-07-12
1,kayan wall lock & Load,10026,الفريدة للهندسة والمقاولات,68.0,125,22314199,Procurement Concrete,STANDARD,EGP,  05-OCT-22,73254,Procurement,,9559.8,2022-10-17,100% 30 Days,0,9559.8,0,0,0,0,0,,0,2023-07-12
1,EGAT Lock & Load,10026,الفريدة للهندسة والمقاولات,173.0,4,22318127,Procurement Concrete,STANDARD,EGP,  21-DEC-22,73683,Procurement,,0.6,2022-12-21,Immediate,0,0.6,0,0,0,0,0,,0,2023-07-12
1,Air Defense College,10026,الفريدة للهندسة والمقاولات,150.0,رد تعلية الاسمنت وخصمها من نيو باور,23300215,Procurement Concrete,STANDARD,EGP,  15-JAN-23,73683,Procurement,,151151.6,2023-01-15,Immediate,0,151151.6,0,0,0,0,0,,0,2023-07-12
1,Kattameya Creeks,10033,المصرية لمعدات البلاستيك -ايبكو,138.0,108,22312635,Current account Mep,STANDARD,EGP,  11-SEP-22,62306,Mechanical,,55643.29,2022-09-11,Immediate,0,55643.29,0,0,0,0,0,,0,2023-07-12
2,EMAAR-Pkg#162/163- Marassi,10037,ايه وان للمقاولات,123.0,7 PKG# 162 - 62561/7,22410026,Procurement,STANDARD,EGP,  31-OCT-22,62561,Procurement,,90254.03,2022-10-30,100% 15 Day,0,90254.03,0,0,0,0,0,,0,2023-07-12
