Title of RFQ,PR Number
RFT Supply (PR 93552),93552
RFT Supply (PR 93552),93552
RFT Supply (PR 93552),93552
Steel Rebars Forming and Cutting (PR_96073),96073
Steel Rebars Forming and Cutting (PR_96073),96073
Steel Reinforcement (PR_98835 - 97699 - 97743),98835
Steel Reinforcement (PR_98835 - 97699 - 97743),98835
Steel Reinforcement (PR_98835 - 97699 - 97743),98835
Anchor M27 Length 50cm (PR_103252) Threaded,103252
Anchor M27 Length 50cm (PR_103252) Threaded,103252
Supply Reinforcement (PR_103869),103869
Supply Reinforcement (PR_103869),103869
Supply Reinforcement (PR_103869),103869
RFT Supply (PR NO.104407),
RFT Supply (PR NO.104407),
RFT Supply (PR NO.104407),
RFT Supply (PR NO.104407),
RFT Supply Pr 104376,104376
RFT Supply Pr 104376,104376
Cement supply PR (101237),
Cement supply PR (100864),
Supply RFT (PR NO.104377),
اسمنت رتبة 22.5 - PR 101736,101736
بردوره رصيف 50 * 30 *15 / 12.5 - pr 103446,103446
Paintings PR 103508+103694,103508
Paintings PR 103508+103694,103508
RFT steel PR ( 104364 ),
RFT steel PR ( 104364 ),
RFT steel PR (104370),
RFT steel PR (104370),
RFT steel PR (104370),
Supply Polyethylene Sheet 150 micron (PR_102116),102116
Polyethylene Sheet PR 103834,103834
Block Work PR 615+640 Rev01,615
Block Work PR 615+640 Rev01,615
Block Work PR 615+640 Rev01,615
Block Work PR 615+640 Rev01,615
Block Work PR 615+640 Rev01,615
Cement for Concrete (PR NO. 104394),
Supply Chemical Materials (PR_104325),104325
Supply Chemical Materials (PR_104325),104325
Supply Chemical Materials (PR_104325),104325
Supply Chemical Materials (PR_104325),104325
Supply Chemical Materials (PR_104325),104325
Block Accessories pr 693,693
Block Accessories pr 693,693
Block Accessories pr 693,693
Block Accessories pr 693,693
Block Accessories pr 693,693
طوب مصمت6*10*20 - pr 103685,103685
polyethylene (PR NO.104323),
Cement Supply PR 102392 Rev 01,102392
Wood for Construction (PR_104104),104104
Wood for Construction (PR_104104),104104
Wood for Construction (PR_104104),104104
Wood for Construction (PR_104104),104104
Cement Supply PR 102392,102392
Supply Reinforcement (PR_104612),104612
Supply Reinforcement (PR_104612),104612
Supply Reinforcement (PR_104612),104612
Supply Reinforcement (PR_104612),104612
Supply Reinforcement (PR_104612),104612
Supply Reinforcement (PR_104612),104612
Supply Reinforcement (PR_104612),104612
Chemical Package Grout 214 PR 630,630
chemical Package Sika Rep SA PR 649,649
Concrete Tile PR 566 REV.01,566
Concrete Tile PR 566 REV.01,566
Chemical Package PR 654,654
Chemical Package Grout pr 612 ,612
Wood for Construction( PR no. 103539),
Block Work PR 103700,103700
"Ready Mix Concrete (PR_98007, 96040)",98007
"Ready Mix Concrete (PR_98007, 96040)",98007
"Ready Mix Concrete (PR_98007, 96040)",98007
"Ready Mix Concrete (PR_98007, 96040)",98007
طوب مصمت 6*12*25 pr -103700,
Supply Polyethylene Sheet Pr 667,667
Cement for concrete (PR NO.103705),
Supply Polyethylene Sheet 150 micron (PR_103344)),103344
Supply Masonry Blocks (PR_102351),102351
Supply Chemical Materials (PR_102346),102346
Supply Chemical Materials (PR_102346),102346
Supply Chemical Materials (PR_102346),102346
Supply Chemical Materials (PR_102346),102346
Supply Chemical Materials (PR_102346),102346
Supply Chemical Materials (PR_102346),102346
Ready mix Concrete (PR_102391),102391
Ready mix Concrete (PR_102391),102391
Ready mix Concrete (PR_102391),102391
Ready mix Concrete (PR_102391),102391
Paintings PR 664,664
Paintings PR 664,664
Paintings PR 664,664
Paintings PR 664,664
Paintings PR 664,664
Nails for Metal connections (PR NO. 102541),
Nails for Metal connections (PR NO. 102541),
Nails for Metal connections (PR NO. 102541),
Nails for Metal connections (PR NO. 102541),
Chemicals Package Master Seal 620 pr 671,671
chemicals Package Sika grout 214 pr 683,683
Nails for Metal connections (PR NO. 102541),
Polyethylene (PR NO.104323),
بولي ايثيلين 400 ميكرون اسود - PR 103418,103418
طوب مصمت pr - 103031,
Supply Masonry Blocks (PR-102351),
Extruded Polystyrene PR 105499,105499
سافيتو - PR - 104802,
سافيتو - PR - 104802,
سافيتو - PR - 104802,
سافيتو - PR - 104802,
دهانات PR - 103949,
دهانات PR - 103949,
دهانات اسكيب - PR - 104802,
دهانات اسكيب - PR - 104802,
دهانات اسكيب - PR - 104802,
دهانات اسكيب - PR - 104802,
Gypsum Board PR 818,818
Gypsum Board PR 818,818
Gypsum Board PR 818,818
Gypsum Board PR 818,818
Gypsum Board PR 818,818
Gypsum Board PR 818,818
Gypsum Board PR 818,818
